已提交的虛擬內存 [兆字節],可用虛擬內存 [兆字節],虛擬內存負載 [%],使用的物理內存 [兆字節],可用物理內存 [兆字節],物理內存負載 [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Core 4 VID [V],Core 5 VID [V],Core 6 VID [V],Core 7 VID [V],核心時脈 (avg) [兆赫],Core 0 時脈 [兆赫],Core 1 時脈 [兆赫],Core 2 時脈 [兆赫],Core 3 時脈 [兆赫],Core 4 時脈 [兆赫],Core 5 時脈 [兆赫],Core 6 時脈 [兆赫],Core 7 時脈 [兆赫],總線時脈 [兆赫],Ring/LLC 時脈 [兆赫],核心有效時脈 (avg) [兆赫],Core 0 T0 有效時脈 [兆赫],Core 0 T1 有效時脈 [兆赫],Core 1 T0 有效時脈 [兆赫],Core 1 T1 有效時脈 [兆赫],Core 2 T0 有效時脈 [兆赫],Core 2 T1 有效時脈 [兆赫],Core 3 T0 有效時脈 [兆赫],Core 3 T1 有效時脈 [兆赫],Core 4 T0 有效時脈 [兆赫],Core 4 T1 有效時脈 [兆赫],Core 5 T0 有效時脈 [兆赫],Core 5 T1 有效時脈 [兆赫],Core 6 T0 有效時脈 [兆赫],Core 6 T1 有效時脈 [兆赫],Core 7 T0 有效時脈 [兆赫],Core 7 T1 有效時脈 [兆赫],平均有效時脈 [兆赫],核心溫度 (avg) [℃],Core 0 [℃],Core 1 [℃],Core 2 [℃],Core 3 [℃],Core 4 [℃],Core 5 [℃],Core 6 [℃],Core 7 [℃],磁芯到 TjMAX 的距離 (avg) [℃],Core 0 到 TjMAX 的距離 [℃],Core 1 到 TjMAX 的距離 [℃],Core 2 到 TjMAX 的距離 [℃],Core 3 到 TjMAX 的距離 [℃],Core 4 到 TjMAX 的距離 [℃],Core 5 到 TjMAX 的距離 [℃],Core 6 到 TjMAX 的距離 [℃],Core 7 到 TjMAX 的距離 [℃],CPU整體 [℃],核心最大值 [℃],CPU整體 [℃]_1,CPU IA 內核 [℃],CPU GT 內核（圖形） [℃],VR VCC 溫度 (SVID) [℃],CPU整體功耗 [W],IA 內核功耗 [W],系統 Agent 能量消耗 [W],剩餘芯片功耗 [W],PL1 功率限制 [W],PL2 功率限制 [W],內存時脈 [兆赫],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],CPU [℃],系統 [℃],MOS [℃],PCH [℃],CPU Socket [℃],T0 [℃],T1 [℃],+12V [V],VCCIO2 [V],Vcore [V],VIN3 [V],DRAM [V],VCCIO [V],VCCSA [V],VIN7 [V],+3.3V [V],CPU [RPM],系統 1 [RPM],系統 2 [RPM],系統 3 [RPM],V0 [V],V1 [V],+5V [V],DIMM[1] 溫度 (BANK 0/控制器0-ChannelA-DIMM1) [℃],DIMM[3] 溫度 (BANK 1/控制器0-ChannelB-DIMM1) [℃],讀取率 [MB/s]_17,寫入率 [MB/s]_18,讀取總數 [兆字節]_19,寫入總計 [兆字節]_20,讀取率 [MB/s]_21,寫入率 [MB/s]_22,讀取總數 [兆字節]_23,寫入總計 [兆字節]_24,GPU 溫度 [℃],GPU 內存結溫 [℃],GPU熱點溫度 [℃],GPU核心電壓 [V],GPU 線路電壓 (avg) [V],GPU PCIe +12V 輸入 電壓 [V],GPU 8-pin #1 輸入 電壓 [V],GPU 8-pin #2 輸入 電壓 [V],GPU 8-pin #3 輸入 電壓 [V],GPU Misc0 輸入 電壓 [V],GPU Misc1 輸入 電壓 [V],GPU SRAM 輸出 電壓 [V],GPU 風扇1 [RPM],GPU 風扇2 [RPM],GPU 能量消耗 [W],GPU 線路功耗 (avg) [W],GPU Core (NVVDD) 輸入 能量消耗 (sum) [W],GPU SRAM 輸入 能量消耗 (sum) [W],GPU PCIe +12V 輸入 能量消耗 [W],GPU 8-pin #1 輸入 能量消耗 [W],GPU 8-pin #2 輸入 能量消耗 [W],GPU 8-pin #3 輸入 能量消耗 [W],GPU Misc0 輸入 能量消耗 [W],GPU Misc1 輸入 能量消耗 [W],GPU Core (NVVDD2) 輸入 能量消耗 (sum) [W],GPU 輸入 PP Source 能量消耗 (sum) [W],GPU HV0 輸入 能量消耗 (sum) [W],GPU Core (NVVDD) 輸出 能量消耗 (sum) [W],GPU Core (NVVDD) 輸出 能量消耗 [W],GPU Core (NVVDD) 輸出 能量消耗 [W]_29,GPU SRAM 輸出 能量消耗 [W],GPU 時脈 [兆赫],GPU內存時脈 [兆赫],GPU Video 時脈 [兆赫],GPU 有效時脈 [兆赫],GPU 風扇1 [%],GPU 風扇2 [%],Total GPU 能量消耗 (normalized) [% of TDP] [%],Total GPU 能量消耗 [% of TDP] [%],分配的 GPU 內存 [兆字節],GPU D3D 內存專用 [兆字節],GPU D3D 內存動態 [兆字節],PCIe 鏈接速度 [GT/s],總下載量 [兆字節],總上傳 [兆字節],當前下載速度 [KB/s],當前上傳速率 [KB/s],幀率 [FPS],幀時間 [ms],Column1
21998,15531,58.6,11193,21471,34.2,1.251,1.262,1.253,1.253,1.253,1.253,1.245,1.245,1.245,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,100,3699.1,2295.4,2494.5,2182.9,2994.3,2138.1,2410.8,2115,2245.8,2194.6,2325.1,2137.3,2267.9,2213.4,2382.1,2122.2,2388.2,2115.1,2295.4,53,53,52,54,54,53,52,50,52,48,47,48,46,46,47,48,50,48,54,54,55,55,45,41,99.895,85.235,5.121,9.569,4095.9,4095.9,1599.6,16,18,18,38,56,560,2,1,54,44,40,46,43.5,23.5,13.5,11.928,1.286,1.26,1.054,1.34,1.054,1.25,1.536,3.316,1494,3217,1014,1068,0.033,1.303,4.935,37.3,36.5,0.111,0.532,3889,353,0,0,8301,0,76.5,80,85.5,1.056,10.432,11.881,12.036,12.049,12.035,12.006,11.973,1.044,1436,1455,305.353,122.441,188.453,66.532,54.734,125.143,89.415,80.83,39.8,55.553,254.981,94.408,294.702,215.862,60.436,158.993,56.767,1965,2375.5,1725,1950.3,49,49,102.2,99.8,9032,8876,653,16,11,2,1.218,0.03,113,6.6,
21989,15539,58.5,11191,21474,34.2,1.252,1.238,1.245,1.245,1.254,1.254,1.268,1.268,1.244,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2598.2,2801.6,2551.6,2862.8,2569.7,2666.2,2470.4,2605.4,2527,2647.1,2524.2,2635.8,2479.9,2615.7,2460,2657.9,2495.6,2598.2,54,54,54,55,54,54,53,52,53,46,46,46,45,46,46,47,48,47,56,55,55,55,45,41,104.135,89.344,5.211,9.611,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,55.5,44.5,40.5,46,43.5,23.5,13.5,11.928,1.286,1.24,1.046,1.34,1.052,1.25,1.536,3.308,1481,3100,1079,1056,0.058,1.342,4.915,37.3,36.5,0,0.031,3889,353,0.947,0,8303,0,76.9,80,86,1.056,10.431,11.878,12.035,12.046,12.035,12.007,11.975,1.044,1454,1454,341.418,119.652,185.049,65.934,54.079,124.321,87.829,79.299,39.552,55.059,250.975,93.857,290.811,212.648,42.811,157.441,55.121,1965,2375.5,1725,1941.3,49,49,98.4,98.5,9032,8876,653,16,11,2,1.095,0.581,146,9.7,
21905,15624,58.3,11191,21473,34.2,1.252,1.232,1.235,1.254,1.266,1.269,1.262,1.247,1.252,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,100,3699.1,2741.5,2961.2,2666.8,2991.1,2735.1,2800.3,2601.4,2738.6,2705.2,2754.3,2679.4,2789.6,2601.7,2773.2,2624.9,2791.1,2649.9,2741.5,55,57,54,55,57,56,55,53,55,45,43,46,45,43,44,45,47,45,57,57,57,57,45,41,107.012,92.155,5.253,9.635,4095.9,4095.9,1599.6,16,18,18,38,56,560,2,1,56,44.5,40.5,48,44,23.5,13.5,11.904,1.286,1.24,1.048,1.34,1.052,1.248,1.536,3.316,1538,3208,0,1056,0.042,1.335,4.925,37.5,36.5,0,0.427,3889,354,0.4,0,8303,0,77.1,82,86.2,1.056,10.426,11.871,12.031,12.042,12.03,11.998,11.965,1.044,1464,1451,345.209,122.244,187.843,66.649,54.655,125.127,89.051,80.634,39.725,55.66,254.485,94.241,294.123,214.569,62.432,158.27,56.202,1965,2375.5,1725,1948.2,49,49,101.1,99.6,9034,8877,653,16,11,2,0.491,1.378,147,4.5,
21847,15682,58.2,11154,21510,34.1,1.24,1.25,1.242,1.242,1.237,1.237,1.237,1.237,1.237,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2660.6,2820.6,2616.5,2888.5,2644.1,2703.7,2548.2,2665.8,2636.1,2664.2,2604.1,2697.9,2581.5,2652.9,2536.7,2713.4,2595.4,2660.6,54,54,54,56,55,55,54,51,56,46,46,46,44,45,45,46,49,44,57,56,56,56,46,41,105.918,91.11,5.22,9.618,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,56,45,40.5,47,44,23.5,13.5,11.928,1.286,1.238,1.046,1.34,1.052,1.25,1.536,3.312,1530,3208,1067,1060,0.039,1.309,4.925,37.5,36.5,0.027,0.077,3889,354,0.349,0,8304,0,76.9,82,86.1,1.031,10.429,11.882,12.034,12.05,12.036,12.002,11.971,1.025,1466,1456,342.61,116.542,183.628,64.796,54.041,124.289,87.252,78.691,40.148,54.122,248.426,95.056,289.501,208.76,10.817,153.803,54.792,1950,2375.5,1710,1937.2,49,49,96.6,98.1,9034,8877,653,16,11,2,0.325,0.052,150,6.3,
21841,15688,58.1,11172,21493,34.2,1.245,1.25,1.243,1.243,1.248,1.248,1.233,1.234,1.261,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,100,3699.1,2598.3,2801.8,2557.8,2814.2,2573.2,2659.5,2465.8,2582.2,2523.8,2626.5,2560.4,2645.7,2483.7,2611.1,2507.5,2679.9,2480.2,2598.3,55,54,51,56,53,53,61,54,57,45,46,49,44,47,47,39,46,43,61,61,56,56,46,41,103.853,89.062,5.212,9.611,4095.9,4095.9,1599.6,16,18,18,38,56,560,2,1,55.5,45,40.5,47,44,23.5,13.5,11.928,1.286,1.24,1.048,1.34,1.052,1.25,1.536,3.316,1517,3208,1081,1068,0.034,1.302,4.92,37.5,36.8,0,0.125,3889,354,0.756,0,8306,0,76.7,82,86.1,1.031,10.427,11.878,12.031,12.048,12.035,12.001,11.969,1.025,1464,1454,345.456,115.115,179.622,64.225,53.45,123.501,85.262,77.047,39.952,53.657,243.853,94.652,285.118,207.798,10.767,151.961,55.859,1950,2375.5,1710,1936.8,49,49,97,96.7,9034,8877,653,16,11,2,0.33,0.03,152,5.4,
21848,15681,58.2,11167,21498,34.1,1.244,1.269,1.246,1.236,1.241,1.23,1.23,1.27,1.23,4412.5,4400,4400,4400,4400,4400,4400,4500,4400,100,3700,2473.4,2933,2446.8,2866.5,2398.4,2543.5,2207.2,2453.9,2368.6,2477.7,2283,2568.9,2277.4,2514.5,2295,2521.6,2418.1,2473.4,53,55,51,56,53,53,54,52,53,47,45,49,44,47,47,46,48,47,55,56,56,56,45,41,102.816,88.106,5.153,9.586,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,55.5,45,40.5,47,44,23.5,13.5,11.976,1.288,1.248,1.056,1.34,1.052,1.25,1.538,3.316,1511,3217,1035,1075,0.058,1.345,4.925,37.5,36.8,0,0.033,3889,354,0.196,0,8306,0,70.1,78,79.3,1.063,10.48,11.961,12.046,12.123,12.087,12.043,12.029,1.069,1471,1463,180.723,55.987,68.47,34.526,29.688,88.117,35.531,26.157,33.047,28.821,102.995,76.399,149.714,78.372,9.601,51.892,26.471,1980,2375.5,1740,1963.8,49,49,53.8,51.3,9034,8877,653,16,11,2,1.108,0,350,3,
21853,15676,58.2,11172,21493,34.2,1.239,1.253,1.248,1.241,1.241,1.232,1.232,1.231,1.231,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,100,3699.1,2464.6,3042.4,2361.3,2816.9,2325.9,2603.6,2197.5,2454.6,2354.4,2552.7,2372.3,2501.8,2299.7,2502.1,2301.5,2468.2,2278.3,2464.6,54,53,51,56,55,55,54,52,53,46,47,49,44,45,45,46,48,47,54,56,55,55,45,41,101.549,86.881,5.126,9.574,4095.9,4095.9,1599.6,16,18,18,38,56,560,2,1,55.5,45,40.5,47,44,23.5,13.5,12,1.286,1.24,1.046,1.34,1.052,1.25,1.54,3.312,1550,3100,1071,1061,0.031,1.096,4.925,37.8,36.8,0,0.095,3889,354,1.026,0,8309,0,75.1,80,84.4,1.038,10.429,11.883,12.032,12.049,12.035,12,11.968,1.038,1458,1461,309.994,119.317,183.352,66.625,54.293,125.738,87.102,78.591,39.913,55.652,249.987,94.956,290.702,205.889,51.149,150.121,55.688,1965,2375.5,1725,1457.6,49,49,98.6,98.3,9034,8877,653,16,11,2,0.446,0,145,6.8,
21856,15672,58.2,11173,21491,34.2,1.249,1.244,1.264,1.259,1.267,1.25,1.24,1.235,1.23,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2593,2779.8,2533.1,2856.1,2569.9,2691.1,2496.8,2625.3,2506.3,2597.2,2531.1,2650.5,2477.9,2598.1,2449.1,2642.4,2483.1,2593,55,54,55,56,56,56,55,54,55,45,46,45,44,44,44,45,46,45,56,56,56,56,45,41,104.649,89.828,5.235,9.617,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,56.5,45,40.5,47,44.5,23.5,13.5,11.904,1.286,1.24,1.048,1.34,1.052,1.25,1.536,3.304,1518,2941,941,988,0.031,1.291,4.925,37.8,37,0,0.061,3889,355,2.175,0,8314,0,76.1,80,85.3,1.031,10.427,11.88,12.031,12.048,12.033,12,11.968,1.031,1467,1456,344.323,117.607,182.842,65.981,54.242,125.266,86.962,78.274,40.141,55.123,248.831,95.124,289.765,212.514,16.452,155.757,56.834,1950,2375.5,1710,1944,49,49,96.7,98.3,9034,8877,653,16,11,2,0.848,1.338,147,6.7,
21885,15644,58.3,11170,21495,34.1,1.261,1.236,1.246,1.271,1.271,1.271,1.271,1.261,1.264,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,100,3699.1,2622.2,2789.9,2623.6,2848.9,2593.9,2716.5,2483.7,2637.6,2527.6,2669,2548.2,2686.6,2494.8,2660.9,2498.9,2678.5,2496.1,2622.2,56,56,54,56,57,55,56,55,55,45,44,46,44,43,45,44,45,45,56,57,56,56,46,41,105.539,90.682,5.256,9.631,4095.9,4095.9,1599.6,16,18,18,38,56,560,2,1,57,45.5,40.5,47,44.5,23.5,13.5,11.928,1.286,1.24,1.048,1.34,1.054,1.25,1.536,3.316,1552,3149,965,1006,0.032,1.298,4.92,37.8,37,0,0.127,3889,355,3.455,0,8320,0,76.5,82,85.7,1.031,10.425,11.88,12.031,12.046,12.034,12.001,11.974,1.013,1469,1470,347.015,121.859,183.616,65.292,54.6,125.265,87.36,78.689,40.515,54.554,248.898,96.052,290.436,207.479,87.725,151.938,55.466,1950,2375.5,1710,1937.2,49,49,99.5,100.7,9066,8909,653,16,11,2,1.571,0.092,160,6.1,
21888,15641,58.3,11175,21489,34.2,1.253,1.247,1.254,1.254,1.254,1.254,1.254,1.254,1.251,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2623.1,2841.1,2562.9,2845.8,2606,2669.2,2510.9,2637.7,2557.5,2646.2,2568.1,2675.4,2502.7,2640.8,2505.5,2689.5,2510.6,2623.1,53,54,52,55,54,53,54,52,53,47,46,48,45,46,47,46,48,47,55,55,55,55,45,41,104.788,89.956,5.25,9.615,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,56.5,46,41,47,44.5,23,13.5,11.928,1.286,1.242,1.046,1.34,1.054,1.25,1.534,3.312,1566,3200,1013,1033,0.022,1.294,4.92,37.8,37,0,0.096,3889,355,0.697,0,8322,0,76.6,82,85.6,1.013,10.424,11.876,12.031,12.048,12.034,12,11.966,1.013,1466,1464,346.303,119.768,182.366,64.99,54.427,125.19,86.625,78.176,40.548,54.292,247.346,96.284,289.273,211.008,55.076,154.238,56.69,1935,2375.5,1695,1930.5,49,49,97.7,98.2,9066,8909,653,16,11,2,1.04,0,155,6.5,
21901,15627,58.3,11178,21487,34.2,1.256,1.243,1.237,1.237,1.275,1.275,1.26,1.261,1.261,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2639.1,2829.8,2566.1,2891.9,2595.4,2738.8,2506.6,2666.5,2549.5,2649.8,2603.6,2718.1,2503,2681.3,2499.4,2695.7,2529.8,2639.1,55,55,53,56,57,54,56,53,54,45,45,47,44,43,46,44,47,46,56,57,56,56,46,41,105.518,90.654,5.266,9.629,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,57,46,41,48,44.5,23.5,13.5,11.904,1.286,1.24,1.046,1.34,1.052,1.25,1.536,3.316,1522,3200,1080,1052,0.048,1.287,4.915,38,37,0.834,0.236,3891,355,7.349,0,8336,0,76.6,82,86.1,1.031,10.432,11.887,12.035,12.051,12.037,12.006,11.977,1.031,1464,1475,345.247,118.012,186.121,66.12,54.892,125.39,88.469,79.807,40.183,55.237,252.242,95.412,292.851,211.373,10.841,154.947,56.302,1950,2375.5,1710,1932.1,49,49,98.8,99.3,9066,8909,653,16,11,2,6.131,1.33,151,7.1,
22169,15359,59,11170,21494,34.1,1.249,1.245,1.23,1.252,1.252,1.252,1.252,1.259,1.249,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,100,3699.1,2744,2964.2,2719.8,2991.7,2660.3,2823.5,2610.8,2764.1,2620.4,2772.1,2649.6,2854.6,2592,2852.6,2596.1,2835.6,2596.2,2744,55,54,53,57,57,56,56,54,55,45,46,47,43,43,44,44,46,45,57,57,56,56,46,41,109.849,94.878,5.335,9.665,4095.9,4095.9,1599.6,16,18,18,38,56,560,2,1,57.5,45.5,41,48,44.5,23.5,13.5,11.928,1.286,1.24,1.046,1.34,1.052,1.25,1.536,3.316,1548,3191,1071,1057,0.035,1.303,4.925,38,37.3,0.156,0.334,3891,356,83.932,0,8504,0,76.9,82,86.1,1.031,10.428,11.877,12.031,12.047,12.035,12.003,11.972,1.031,1469,1475,346.627,119.574,185.247,66.073,54.777,125.498,88.051,79.433,40.281,55.181,251.316,95.548,292.153,216.05,28.073,158.525,57.4,1950,2375.5,1710,1932.5,49,49,99.6,99.1,9322,9166,654,16,11,2,16.282,5.762,164,5.6,
22170,15358,59,11180,21485,34.2,1.239,1.238,1.251,1.243,1.238,1.238,1.233,1.233,1.243,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2623.4,2817.7,2532.7,2921.8,2589.2,2686.3,2450.6,2677.4,2498.9,2691.1,2524,2692.8,2490.8,2665.2,2494.6,2722.2,2519.1,2623.4,55,53,52,57,55,54,55,55,55,46,47,48,43,45,46,45,45,45,56,57,57,57,46,42,106.089,91.203,5.285,9.632,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,56.5,46,41,48,45,23.5,13.5,11.928,1.286,1.24,1.048,1.34,1.052,1.25,1.536,3.312,1542,3191,1035,1061,0.024,1.292,4.92,38,37.3,5.462,1.045,3902,358,12.291,0,8528,0,76.9,82,86.2,1.031,10.43,11.879,12.033,12.05,12.038,12.005,11.974,1.031,1467,1478,342.611,117.261,181.823,65.368,54.037,124.406,86.411,77.896,40.025,54.589,247.185,94.792,288.012,209.034,26.232,152.985,56.123,1950,2375.5,1710,1939.9,49,49,97.9,97.7,9322,9166,654,16,11,2,7.693,1.548,148,11.5,
22471,15058,59.8,11379,21286,34.8,1.259,1.241,1.233,1.257,1.248,1.266,1.275,1.275,1.275,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2993.8,3202.7,2987.4,3236.4,2879,3153.7,2823.9,3002.9,2922.3,3057.2,2886.5,3059.2,2914.1,3027,2834.3,3062.9,2851.4,2993.8,57,56,56,59,58,57,57,55,56,43,44,44,41,42,43,43,45,44,60,59,58,58,47,41,116.077,100.935,5.436,9.736,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,59,46,41,49,45,23,13.5,11.928,1.288,1.236,1.044,1.34,1.054,1.25,1.538,3.316,1554,3191,1084,1068,0.029,1.299,4.92,38.3,37.3,4.093,1.399,3910,361,12.057,0,8552,0,76.9,82,86.1,1.056,10.429,11.878,12.034,12.049,12.036,12.004,11.97,1.031,1466,1476,341.579,115.417,179.589,64.592,53.437,123.576,85.474,76.799,39.986,53.939,244.181,94.368,285.165,209.677,10.912,154.053,55.505,1965,2375.5,1725,1940.9,49,49,101.5,96.7,9353,9197,657,16,12,2,501.462,23.063,147,6,
22614,14914,60.2,11514,21151,35.2,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,1.255,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,3018.7,3204.6,3055.2,3164,3024.1,3088.6,2926.1,3067.4,2925.2,3051.9,2871.5,3067.1,2946.3,3034.9,2912.3,3081.6,2878.9,3018.7,56,57,54,59,57,55,56,55,54,44,43,46,41,43,45,44,45,46,58,59,58,58,47,42,116.602,101.437,5.453,9.741,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,59.5,46,41,47,45,23,13.5,11.928,1.286,1.238,1.046,1.34,1.052,1.25,1.536,3.312,1581,3200,0,1067,0.064,1.304,4.92,38.3,37.3,0.899,1.306,3912,363,3.289,0,8558,0,77.2,82,86.2,1.031,10.425,11.871,12.031,12.045,12.031,12,11.965,1.031,1466,1483,345.929,117.701,182.404,63.683,53.586,122.81,86.641,78.186,39.839,53.186,246.091,94.38,286.943,202.023,53.828,148.359,53.549,1950,2375.5,1710,1946.1,50,50,96.5,97.3,9382,9226,660,16,13,2,198.234,9.23,150,7.4,
22598,14931,60.2,11503,21162,35.2,1.241,1.258,1.24,1.245,1.246,1.236,1.235,1.235,1.235,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2790.1,2951.4,2819.6,3028.6,2760.4,2878.2,2608.8,2809.2,2683.8,2866.3,2715.3,2845.9,2629.2,2826.9,2678.2,2862.1,2677.1,2790.1,58,57,55,59,59,64,56,55,56,42,43,45,41,41,36,44,45,44,63,64,61,61,46,42,109.063,94.092,5.342,9.661,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,57.5,46,41,48,45,23,13,11.928,1.288,1.238,1.048,1.34,1.052,1.25,1.536,3.316,1576,3208,1038,1057,0.032,1.297,4.92,38.3,37.5,0,1.016,3912,366,0.113,0,8558,0,77.7,82,86.7,1.056,10.429,11.869,12.032,12.042,12.032,12.002,11.968,1.056,1477,1488,343.503,122.498,189.806,67.992,55.167,126.094,90.003,81.483,39.643,56.786,257.802,94.173,296.86,215.606,50.564,158.637,56.853,1965,2375.5,1725,1935.2,50,50,99.4,100.6,9382,9226,660,16,13,2,1.181,5.839,148,7.3,
22575,14954,60.1,11478,21187,35.1,1.246,1.241,1.23,1.247,1.247,1.229,1.269,1.25,1.255,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2743.5,2925.4,2726,3011.7,2699.1,2795.7,2622.2,2763.4,2651.9,2755.7,2677.1,2831.8,2613.8,2806.3,2596,2762.7,2657.4,2743.5,55,54,52,57,55,55,56,55,56,45,46,48,43,45,45,44,45,44,57,57,57,57,46,42,109.217,94.194,5.372,9.68,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,57.5,46,41.5,48,45.5,23.5,13.5,11.928,1.286,1.242,1.05,1.34,1.052,1.25,1.536,3.312,1587,3191,1089,1065,0.029,1.299,4.93,38.5,37.5,0.045,1.258,3912,368,1.371,0,8561,0,77.4,82,86.6,1.031,10.429,11.873,12.033,12.048,12.035,12.008,11.974,1.031,1491,1485,344.779,116.617,184.569,64.961,53.821,122.952,87.517,79.193,39.241,54.254,249.537,93.25,289.009,210.001,11.052,155.615,54.283,1950,2375.5,1710,1939.7,50,50,99.7,97.9,9382,9226,660,16,13,2,2.312,0,136,9.2,
22574,14955,60.1,11472,21192,35.1,1.261,1.235,1.24,1.24,1.266,1.277,1.277,1.277,1.277,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,4398.9,100,3699.1,2750.2,2928.9,2704.1,2960.7,2713.5,2824.8,2589.8,2760.6,2670.9,2764.8,2748.2,2804.7,2621.1,2803.6,2638.6,2818.2,2650.8,2750.2,56,55,54,58,57,55,55,55,57,44,45,46,42,43,45,45,45,43,57,58,58,58,46,42,109.465,94.475,5.356,9.665,4095.9,4095.9,1599.6,16,18,18,38,56,560,2,1,57.5,46.5,41.5,48,45.5,23.5,13.5,11.928,1.286,1.242,1.05,1.34,1.052,1.25,1.536,3.308,1558,3208,0,1065,0.048,1.381,4.92,38.5,37.5,0.015,0.6,3912,369,0.337,0,8562,0,77.4,84,86.6,1.031,10.429,11.879,12.034,12.048,12.034,12.005,11.972,1.031,1497,1486,341.47,122.782,185.664,64.95,54.239,123.565,88.074,79.702,39.581,54.246,250.619,94.188,290.63,215.153,86.083,159.097,55.946,1950,2375.5,1710,1939.2,50,50,98.8,98.5,9383,9228,660,16,13,2,0.988,0,140,4.9,
22585,14944,60.1,11469,21196,35.1,1.249,1.258,1.234,1.234,1.269,1.274,1.244,1.229,1.251,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2723.8,2910.7,2682.6,2950.4,2726.9,2793.8,2601.3,2725.9,2648.8,2729.1,2702.3,2769.7,2600.5,2758.5,2609.5,2766.1,2605.2,2723.8,55,54,54,57,56,57,55,55,55,45,46,46,43,44,43,45,45,45,56,57,57,57,46,42,107.792,92.806,5.355,9.661,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,57.5,46.5,41.5,48,45.5,23.5,13.5,11.928,1.286,1.242,1.05,1.34,1.052,1.25,1.536,3.316,1558,3200,1088,1064,0.029,1.296,4.925,38.5,37.5,0.116,1.379,3912,372,0.072,0,8562,0,77.7,84,86.5,1.031,10.427,11.876,12.033,12.048,12.032,12.001,11.968,1.031,1503,1484,345.696,117.931,186.022,65.699,54.523,124.468,88.226,79.82,39.699,54.872,251.73,94.596,291.831,211.93,13.733,156.387,55.431,1950,2375.5,1710,1939.7,50,50,100.8,98.9,9383,9228,660,16,13,2,0.658,0.031,141,7.4,
22590,14938,60.1,11470,21194,35.1,1.256,1.243,1.248,1.266,1.271,1.259,1.259,1.259,1.245,4400,4400,4400,4400,4400,4400,4400,4400,4400,100,3700,2760.1,2962.2,2718.1,2995.7,2776.9,2812.5,2636,2753.3,2674.8,2768.4,2694.3,2811.6,2637.3,2770.6,2662.5,2844.8,2642.8,2760.1,56,55,54,58,57,58,57,55,56,44,45,46,42,43,42,43,45,44,57,58,59,59,47,42,108.815,93.798,5.367,9.679,4095.9,4095.9,1600,16,18,18,38,56,560,2,1,57.5,46.5,41.5,48,45.5,23,13.5,11.928,1.286,1.242,1.048,1.34,1.052,1.25,1.536,3.308,1572,3200,1088,1060,0.031,1.297,4.915,38.5,37.8,0.085,0.714,3912,373,4.963,0,8572,0,77.6,84,86.8,1.031,10.429,11.875,12.034,12.047,12.036,12.007,11.974,1.031,1501,1486,347.211,121.891,186.251,63.97,54.196,123.292,88.45,79.859,39.922,53.429,250.211,94.784,290.858,216.682,69.887,159.969,56.599,1950,2375.5,1710,1931.7,50,50,99.4,98.6,9383,9228,660,16,13,2,3.415,1.052,143,7,
